fps,time,date,plyrName,plyrLocation,plyrHealth,plyrInventory,plyrArmor,plyrOffhand,plyrStatus,plyrHunger,plyrSat,plyrView,plyrFacing,plyrSelectedSlot,plyrSelectedItem,plyrRideState,plyrRideVehicle,plyrMomentum
27.0,13:00:56.611921400,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
27.0,13:00:56.629464600,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
27.0,13:00:56.632463900,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
27.0,13:00:56.636552100,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
27.0,13:00:56.639918,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
27.0,13:00:56.669919300,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:56.725397800,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:56.898996500,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:56.916570900,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:56.926087600,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:56.956391,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:56.973964800,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.027721100,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.068354500,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.123450900,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.191571600,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.232766500,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9534143646953644, -0.20535082234799185, 0.22097983834173227]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.268450,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9544487357443923, -0.20022364328288964, 0.22121958210442727]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.340975900,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9563995649961378, -0.17708540869276174, 0.2322512219630202]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.381213400,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9563995649961378, -0.17708540869276174, 0.2322512219630202]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
40.0,13:00:57.423616200,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9573381811683209, -0.16418753287780233, 0.23779415662465656]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
60.0,13:00:57.557494800,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9496240383986844, -0.14867312849940345, 0.2758812906986875]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
60.0,13:00:57.601790500,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9265253715067693, -0.12273616216456218, 0.35564950506271975]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
60.0,13:00:57.617818800,2025-11-10,literal{minecrafter256},"(104.79001443429406, 72.0, 153.43938865010162)",20.0,[],"Armor Slot 0: None, Count: 0; Armor Slot 1: None, Count: 0; Armor Slot 2: None, Count: 0; Armor Slot 3: None, Count: 0; ","Offhand: None, Count: 0; ",[],20.0,20.0,"[-0.9265253715067693, -0.12273616216456218, 0.35564950506271975]",south,6,0 minecraft:air,False,Player is not currently riding anything,0.0784000015258789
